col,tau_uniform,dim_uniform,tau_pecuzal,dim_pecuzal,Ls
Lab5_G1_T1,3,7,[0],1,Float64[]
Lab5_G1_T600,5,9,"[  0 100  52  40  75  25  60 119  34  37 113  45 116  39  36  49  27  38
  30 104  28 102  68  51]",24,"[-0.08919933624874554, -0.2211078845435146, -0.21090483748348343, -0.07002291627521728, -0.035786239194584235, -0.0069027490741813136, -0.00015833526044706225, -0.011208303085711524, -3.522271164402291e-5, -0.006430022026719939, -0.03234446820187742, -4.9858241090383615e-5, -4.627092946241085e-5, -0.007425746552124579, -5.2266156258307106e-5, -1.749832888275904e-5, -5.161041983559045e-6, -2.1199803339477796e-6, -0.0039682857303351415, -2.9735861584168077e-6, -2.103385414065073e-6, -1.8664093581755026e-7, -4.082674753824733e-8]"
Lab5_G1_T638,2,9,[ 0 75 21 12 95 83 52  0],8,"[-0.32183322217443533, -0.7421263475703359, -0.003169839223843507, -0.006386580070395276, -0.014803917967510127, -0.07394433700818936, -0.0005591576044412516]"
Lab5_G1_T606,2,7,[  0 114 103  54  23 138  46  73  11  16   6],11,"[-0.20189956156208022, -0.052421260134916325, -0.03332936582755952, -0.14149321654352331, -0.021370304530796913, -0.05409721716669824, -0.020971245354732604, -0.0016533062643442342, -0.024593069386647848, -0.001715846882672567]"
Lab5_G1_T1002,5,7,[  0 150  74],3,"[-0.12985720053637317, -0.103809915387443]"
Lab5_G1_T1003,4,5,[0],1,Float64[]
Lab5_G2_Fc2,3,4,[ 0 53],2,[-0.2534288182426989]
Lab5_G2_F1,2,4,[  0  92  61  36  50 147  22   0],8,"[-0.07356876005572627, -0.016149604536427775, -0.021173629839051578, -0.006783562485011219, -0.19823809554109695, -0.02508140822523086, -0.00048639163845676237]"
Lab5_G2_Fc3,2,4,[0],1,Float64[]
Lab5_G2_2F1,4,4,[  0  36  16 133],4,"[-0.05127437466215545, -0.09574230491527347, -0.10153650723075225]"
Lab5_G2_3F1,3,4,[  0 102],2,[-0.19174812285802445]
Lab5_G2_Fтк2,4,4,[  0 100  80  89],4,"[-0.151339562433901, -0.023274204145723787, -0.006675592101002326]"
Lab5_G2_Fc4,2,4,[  0 100],2,[-0.04092668399585242]
Lab5_G2_Fцс,1,4,[ 0 68],2,[-0.30431478242606136]
Lab5_G2_F2,2,4,[ 0 63],2,[-0.027606722204626677]
Lab5_G2_Fкпа,3,4,[  0 150  95  56  31  19],6,"[-0.05238962295358596, -0.0745252674238357, -0.0077339901875253525, -0.04482559879569259, -0.08352357877761651]"
Lab5_G2_2F2,25,4,[0],1,Float64[]
Lab5_G2_3F2,2,4,[  0  62 147  19],4,"[-0.1527384910978754, -0.03486866811290923, -0.08072978207942483]"
Lab5_G2_Fтк4,1,4,[0],1,Float64[]
Lab5_G2_3_77F2,3,4,[0],1,Float64[]
Lab5_G2_VoГГ,3,4,"[  0  80 147  75 139  69  17 105  27  23  48   6  11  65  42  21 129  35
  93  98 113  58  56 102 119  61   3 108 100   0  32 110]",32,"[-0.13281287515704143, -0.1444880841911993, -0.033769692517851446, -0.05522848333594954, -0.11068213556526318, -0.03585364737301533, -0.041055398176550906, -0.0462419291864653, -0.05410488038000594, -0.013414962241114825, -0.017114900795370813, -0.02739232981302475, -0.02726379801471257, -0.023074772411231903, -0.009896021400199295, -0.026690522653989746, -0.010364614925892912, -0.008265787371978695, -0.0012539601369740971, -0.010008283268293727, -0.011361706934184035, -0.005751638868264131, -0.00547082876328564, -0.0026138611337436224, -0.0016897483182791717, -0.0015826977744015647, -0.010907106236881958, -0.014224913818775109, -0.000561791857484284, -0.004481323389392777, -0.01101891375479247]"
Lab5_G2_Fc9,1,4,[  0  84  26  12 141 107  19],7,"[-0.023860817885078878, -0.036765949866693126, -0.017771199652802383, -0.02782418688222124, -0.005079692207905606, -0.005954954478100849]"
Lab5_G2_Fс8,11,4,[0],1,Float64[]
Lab5_G2_2F3,2,4,[  0 150],2,[-0.03272396847890652]
Lab5_G2_3F3,1,4,[  0  69  23  48 147  58  11  35 111],9,"[-0.11609941074286079, -0.03686751022831858, -0.02629395240100363, -0.018018445148143436, -0.03946517574987635, -0.0010694445202870106, -0.002202578931110477, -0.013696702946879746]"
Lab5_G2_Fтк9,128,4,[0],1,Float64[]
Lab5_G2_Fтк8,248,4,[0],1,Float64[]
Lab5_G2_Fн9,36,4,[  0 139 115 125],4,"[-0.028205168131651512, -0.020961036934997054, -0.043429420997506823]"
Lab5_G2_Fв9,67,4,[0],1,Float64[]
Lab5_G2_VoСТ,5,4,[0],1,Float64[]
